mode,prune,epoch,train_loss,train_acc,test_loss,test_acc,time
lstm_prune_h2h,40,0,0.0,0.0,2.4586915969848633e-06,1.0,4.101880918000461
lstm_prune_h2h,40,1,2.086162567138672e-07,1.0,0.0,1.0,46.14313023300019
lstm_prune_h2h,40,2,0.0,1.0,0.0,1.0,45.13397657999849
lstm_prune_h2h,40,3,0.0,1.0,2.9802322387695312e-08,1.0,44.114247546000115
lstm_prune_h2h,40,4,0.0,1.0,0.0,1.0,44.047557887999574
lstm_prune_h2h,40,5,0.0,1.0,0.0,1.0,44.158185587000844
lstm_prune_h2h,40,6,0.0,1.0,0.0,1.0,43.421176182000636
lstm_prune_h2h,40,7,0.0,1.0,0.0,1.0,43.64949854599945
lstm_prune_h2h,40,8,0.0,1.0,0.0,1.0,43.789168903000245
lstm_prune_h2h,40,9,0.0,1.0,0.0,1.0,44.259727701000884
lstm_prune_h2h,40,10,0.0,1.0,0.0,1.0,44.39152511499924
lstm_prune_h2h,50,0,0.0,0.0,1.9371509552001953e-07,1.0,4.200782261999848
lstm_prune_h2h,50,1,4.6193599700927734e-07,1.0,0.003992646001279354,1.0,44.10836754699994
